Sl.No.,Crop,Area(Ha.)1985-86,Area(Ha.)2004-05,Difference,% of Variation
1,Paddy,678281,289974,-388307,-57
2,Pineapple,4779,12680,7901,165
3,Arecanut,58691,107572,48881,83
4,Turmeric,3164,2881,-283,-9
5,Cashew,137747,81547,-56200,-41
6,Tapioca,202919,88486,-114433,-56
7,Banana,16500,58866,42366,257
8,Plantain,36502,54612,18110,50
9,Coconut,704682,899267,194585,28
10,Ginger,15671,9991,-5680,-36
11,Pepper,121565,237669,116104,96
12,sesamum,14285,883,-13402,-94
13,Rubber,330315,480661,150346,46
14,Coffee,65641,84644,19003,29
15,Tea,34760,35040,280,1
