S.N.,States/Uts,Yearly Fish Consumption(Per Capita/Kg.)2019-20
1,Andhra Pradesh,8.07
2,Arunachal Pradesh,3.52
3,Assam,11.72
4,Bihar,8.82
5,Chhattisgarh,4.66
6,Goa,NA
7,Gujarat,9.55
8,Haryana,NA
9,Himachal Pradesh,2.16
10,Jharkhand,10.32
11,Karnataka,7.56
12,Kerala,19.41
13,Madhya Pradesh,2.76
14,Maharashtra,3.02
15,Manipur,14.1
16,Meghalaya,10.98
17,Mizoram,5.54
18,Nagaland,6.68
19,Odisha,13.79
20,Punjab,0.4
21,Rajasthan,0.01
22,Sikkim,1.16
23,Tamil Nadu,9.6
24,Telangana,8.87
25,Tripura,29.29
26,Uttarakhand,0.49
27,Uttar Pradesh,10.89
28,West Bengal,NA
29,Andaman and Nicober Islands,59.47
30,Chandigarh,NA
31,Daman and Diu D & Nagar Haveli,NA
32,Delhi,NA
33,Jammu & Kashmir,3
34,Ladakh,NA
35,Lakshadweep,NA
36,Puducherry,30
