Year,Marine Fish production(In Lakh Tonnes),Inland Fish production(In Lakh Tonnes),Total Fish production(In Lakh Tonnes), Marine Annual Average Growth Rate (Percent),Inland Annual Average Growth Rate (Percent),Total Annual Average Growth Rate (Percent)
1950-51,5.34,2.18,7.52,,,
1980-81,15.55,8.87,24.42,4.22,4.6,4.36
1981-82,14.45,9.99,24.44,-7.07,12.63,0.08
1982-83,14.27,9.4,23.67,-1.25,-5.91,-3.15
1983-84,15.19,9.87,25.06,6.45,5,5.87
1984-85,16.98,11.03,28.01,11.78,11.75,11.77
1985-86,17.16,11.6,28.76,1.06,5.17,2.68
1986-87,17.13,12.29,29.42,-0.17,5.95,2.29
1987-88,16.58,13.01,29.59,-3.21,5.86,0.58
1988-89,18.17,13.35,31.52,9.59,2.61,6.52
1989-90,22.75,14.02,36.77,25.21,5.02,16.66
1990-91,23,15.36,38.36,1.1,9.56,4.32
1991-92,24.47,17.1,41.57,6.39,11.33,8.37
1992-93,25.76,17.89,43.65,5.27,4.62,5
1993-94,26.49,19.95,46.44,2.83,11.51,6.39
1994-95,26.92,20.97,47.89,1.62,5.11,3.12
1995-96,27.07,22.42,49.49,0.56,6.91,3.34
1996-97,29.67,23.81,53.48,9.6,6.2,8.06
1997-98,29.5,24.38,53.88,-0.57,2.39,0.75
1998-99,26.96,26.02,52.98,-8.61,6.73,-1.67
1999-00,28.52,28.23,56.75,5.79,8.49,7.12
2000-01,28.11,28.45,56.56,-1.44,0.78,-0.33
2001-02,28.3,31.26,59.56,0.68,9.88,5.3
2002-03,29.9,32.1,62,5.65,2.69,4.1
2003-04,29.41,34.58,63.99,-1.64,7.73,3.21
2004-05,27.79,35.26,63.05,-5.51,1.97,-1.47
2005-06,28.16,37.56,65.72,1.33,6.52,4.23
2006-07,30.24,38.45,68.69,7.39,2.37,4.52
2007-08,29.2,42.07,71.27,-3.44,9.41,3.76
2008-09,29.78,46.38,76.16,1.99,10.24,6.86
2009-10,31.04,48.94,79.98,4.23,5.52,5.02
2010-11,32.5,49.81,82.31,4.7,1.78,2.91
2011-12,33.72,52.94,86.66,3.75,6.28,5.28
2012-13,33.21,57.19,90.4,-1.51,8.03,4.32
2013-14,34.43,61.36,95.79,3.67,7.29,5.96
2014-15,35.69,66.91,102.6,3.66,9.04,7.11
2015-16,36,71.62,107.62,0.87,7.04,4.89
2016-17,36.25,78.06,114.31,1.14,8.63,6.12
2017-18,37.56,89.48,127.04,3.61,14.62,11.13
2018-19,38.53,97.2,135.73,2.58,8.62,6.84
2019-20,37.27,104.37,141.64,-3.2,7.37,4.35
