Country,2015-16 Qty,2015-16 Value,2016-17 Qty,2016-17 Value, 2017-18 Qty, 2017-18 Value
USA,180968.00,473484.71,185478.00,441682.11,254096.00,561897.50
Afghanistan,84157.00,118978.67,30863.00,107807.25,40087.00,158123.76
Iran,46032.00,70243.37,53045.00,92896.98,78189.00,101464.79
Australia,25254.00,102384.22,21735.00,60943.50,31595.00,84802.05
Pakistan,116464.00,58747.75,165553.00,84945.94,151753.00,72684.70
China,64184.00,37390.46,199567.00,107030.12,74332.00,41604.15
Iraq,148949.00,38359.63,146924.00,39158.98,146002.00,41345.76
Chile,21677.00,16747.04,35772.00,27001.13,36427.00,33508.52
Sri Lanka,31794.00,52326.42,13684.00,24428.72,12117.00,30749.03
Egypt,64055.00,19471.94,49657.00,18406.74,44350.00,14886.44
Others,196737.00,158467.39,146465.00,120905.63,141409.00,113949.91
Total,980271.00,1146601.60,1048743.00,1125207.10,1010357.00,1255016.61
